,x,y,z
3536,-339.3294372558594,-224.5332946777344,37.81061553955078
3537,-339.3789978027344,-225.17796325683597,37.86090850830078
3538,-339.46807861328125,-226.4713134765625,37.962650299072266
3539,-339.5078430175781,-227.11790466308597,38.01375198364258
3540,-339.5779724121094,-228.4172515869141,38.117149353027344
3541,-339.6078491210937,-229.06951904296875,38.16956329345703
3542,-339.6568603515625,-230.36871337890625,38.2746467590332
3543,-339.6763916015625,-231.0206756591797,38.327674865722656
3544,-339.705810546875,-232.32742309570312,38.43450164794922
3545,-339.7157592773437,-232.98529052734372,38.48868942260742
3546,-339.7260131835937,-234.29417419433597,38.59737014770508
3547,-339.7265014648437,-234.9514312744141,38.65243911743164
3548,-339.7179870605469,-236.27203369140625,38.764198303222656
